key,slogan,targetUrl,picture
banner-01,Innovate your future today,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-02,I,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-03,In,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-04,Innovate your future today with smart solutions that improve your life now,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-05,Innovate your future today with smart solutions that improve your life now.,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-06,aaaa โลเร็ม อิปซัม 洛伦·伊普森 لوريم إيبسوم,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-07,<marquee>Hac</marquee> <script>al('Hacked!');</script> ' or 'A' = 'A,https://example.com/products,https://i.imgur.com/a6fu8EE.png
banner-08,Innovate your future today,http://a.b,https://i.imgur.com/a6fu8EE.png
banner-09,Innovate your future today,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",https://i.imgur.com/a6fu8EE.png
banner-10,Innovate your future today,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",https://i.imgur.com/a6fu8EE.png
banner-11,Innovate your future today,https://www.lorem-ipsum.org,https://i.imgur.com/a6fu8EE.png
banner-12,Innovate your future today,http://www.lorem-ipsum.org/dolor/sit.html,https://i.imgur.com/a6fu8EE.png
banner-13,Innovate your future today,http://www.lorem-ipsum.org/dolor/sit.html#dolor,https://i.imgur.com/a6fu8EE.png
banner-14,Innovate your future today,http://example.org?a=1&b=2,https://i.imgur.com/a6fu8EE.png
banner-15,Innovate your future today,http://example.org?,https://i.imgur.com/a6fu8EE.png
banner-16,Innovate your future today,http://example.org?a,https://i.imgur.com/8YcXhS0.png
banner-17,Innovate your future today,http://example.org?a&b,https://i.imgur.com/8YcXhS0.png
banner-18,Innovate your future today,http://example.org/,https://i.imgur.com/8YcXhS0.png
banner-19,Innovate your future today,http://example.org/a,https://i.imgur.com/8YcXhS0.png
banner-20,Innovate your future today,http://example.org/a/b,https://i.imgur.com/8YcXhS0.png
banner-21,Innovate your future today,http://example.org/a/b?,https://i.imgur.com/8YcXhS0.png
banner-22,Innovate your future today,http://example.org/a/b?a&b,https://i.imgur.com/8YcXhS0.png
banner-23,Innovate your future today,http://www.lorem-ipsum.org,https://i.imgur.com/8YcXhS0.png
banner-24,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-25,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-26,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-27,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-28,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-29,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-30,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-31,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-32,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-33,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-34,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-35,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-36,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-37,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-38,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
banner-39,Innovate your future today,https://example.com/products,https://i.imgur.com/8YcXhS0.png
